,city,lat,lng,country,iso2,admin_name,capital,population,population_proper,details
99,Bāgalūr,13.1328,77.6685,India,IN,Karnātaka,,9925,9925,"['Bagaluru', ' Yelahanka taluku', ' Bengaluru Urban District', ' Karnataka', ' 562149', ' India']"
100,Pakri,25.5876,85.158,India,IN,Bihār,,9768,9768,"['अरविंद रेसीडेंसी', ' 90 Feet Road', ' Rajendra Nagar', ' Patna', ' Patna Rural', ' Patna District', ' Bihar', ' 800020', ' India']"
101,Hunasamaranhalli,13.1435,77.62,India,IN,Karnātaka,,9741,9741,"['Hosahalli Main Rd', ' Bharathi Nagar', ' Hunasamaranahalli', ' Hosahalli', ' Yelahanka taluku', ' Bengaluru Urban District', ' Karnataka', ' 562157', ' India']"
102,Hesarghatta,13.1391,77.4783,India,IN,Karnātaka,,9485,9485,"['Hesaraghatta', ' Yelahanka taluku', ' Bengaluru Urban District', ' Karnataka', ' 560088', ' India']"
103,Bommayapālaiyam,11.9922,79.8499,India,IN,Tamil Nādu,,8796,8796,"['East Coast Road', ' Felicity', ' Bommayapalayam', ' Vanur', ' Viluppuram District', ' Tamil Nadu', ' 605104', ' India']"
104,Gundūr,10.7339,78.7184,India,IN,Tamil Nādu,,8587,8587,"['Gundur', ' Thiruverumbur', ' Tiruchirappalli District', ' Tamil Nadu', ' 620007', ' India']"
105,Punādih,25.5484,85.2649,India,IN,Bihār,,8273,8273,"['Patna Rural', ' Patna District', ' Bihar', ' 801304', ' India']"
106,Harilādih,23.63,86.35,India,IN,Jhārkhand,,7917,7917,"['Chandankiyari', ' Bokaro District', ' Jharkhand', ' India']"
107,Alāwalpur,25.4958,85.2021,India,IN,Bihār,,7827,7827,"['Fatwah', ' Patna District', ' Bihar', ' India']"
108,Mādnāikanhalli,13.0626,77.4642,India,IN,Karnātaka,,7805,7805,"['Madanayakanahalli', ' Madhavara', ' Bangalore North', ' Bengaluru Urban District', ' Karnataka', ' 562162', ' India']"
109,Kādiganahalli,13.1687,77.6283,India,IN,Karnātaka,,7225,7225,"['Kadiganahalli', ' Chikkajala', ' Yelahanka taluku', ' Bengaluru Urban District', ' Karnataka', ' 562134', ' India']"
110,Mahuli,25.543,85.2268,India,IN,Bihār,,6683,6683,"['Patna', ' Patna Rural', ' Patna District', ' Bihar', ' 800001', ' India']"
111,Zeyādah Kot,22.321,88.2457,India,IN,West Bengal,,6457,6457,"['Zafarpur', ' Falta', ' South 24 Parganas District', ' West Bengal', ' 743513', ' India']"
112,Arshakunti,13.0785,77.4225,India,IN,Karnātaka,,6262,6262,"['Arishinakunte', ' Arasinakunte', ' Nelamangala', ' Nelamangala taluk', ' Bengaluru Rural District', ' Karnataka', ' 562162', ' India']"
113,Hīrāpur,23.6834,87.1973,India,IN,West Bengal,,5910,5910,"['Pandabeswar', ' Paschim Bardhaman District', ' West Bengal', ' 713432', ' India']"
114,Mirchi,25.5554,85.2139,India,IN,Bihār,,5710,5710,"['Patna', ' Patna Rural', ' Patna District', ' Bihar', ' 800001', ' India']"
115,Sonudih,25.1155,87.0214,India,IN,Bihār,,5658,5658,"['Goradih', ' Bhagalpur District', ' Bihar', ' 813105', ' India']"
116,Sondekoppa,13.0,77.3667,India,IN,Karnātaka,,4866,4866,"['Kanavanahalli', ' Kanuvanahalli', ' Nelamangala taluk', ' Bengaluru Rural District', ' Karnataka', ' India']"
117,Babura,25.0851,87.1092,India,IN,Bihār,,4755,4755,"['MDR', ' Babura', ' Dhuraiya', ' Banka District', ' Bihar', ' India']"
118,Mādavar,13.0525,77.4732,India,IN,Karnātaka,,4678,4678,"['Anchepalya', ' Madhavara', ' Bangalore North', ' Bengaluru Urban District', ' Karnataka', ' 562162', ' India']"
119,Kadabgeri,12.9965,77.4331,India,IN,Karnātaka,,4573,4573,"['Kadabageri', ' Bangalore North', ' Bengaluru Urban District', ' Karnataka', ' India']"
120,Nanmangalam,12.9381,80.1753,India,IN,Tamil Nādu,,4386,4386,"['Nanmangalam', ' Sholinganallur', ' Chennai District', ' Tamil Nadu', ' 600129', ' India']"
121,Taliganja,22.5876,88.4439,India,IN,West Bengal,,4278,4278,"['AN Block', ' Keshtopur', ' Bidhannagar', ' North 24 Parganas District', ' West Bengal', ' 700102', ' India']"
122,Tarchha,25.1116,87.0964,India,IN,Bihār,,4198,4198,"['Goradih', ' Bhagalpur District', ' Bihar', ' India']"
123,Belgharia,22.5692,88.4846,India,IN,West Bengal,,4193,4193,"['Jot Bhim', ' New Town', ' Bidhannagar', ' North 24 Parganas District', ' West Bengal', ' 700160', ' India']"
124,Kammanhalli,13.0155,77.6381,India,IN,Karnātaka,,4144,4144,"['Kacharakanahalli', ' Kacharkanahalli', ' East Zone', ' Bengaluru', ' Bangalore North', ' Bengaluru Urban District', ' Karnataka', ' 540045', ' India']"
125,Sonnappanhalli,13.1557,77.6179,India,IN,Karnātaka,,3996,3996,"['Sonnappanahalli', ' Vidyanagar', ' Yelahanka taluku', ' Bengaluru Urban District', ' Karnataka', ' 562157', ' India']"
126,Kedihāti,22.6543,88.5304,India,IN,West Bengal,,3910,3910,"['Barasat - II', ' North 24 Parganas District', ' West Bengal', ' 700128', ' India']"
127,Doddajīvanhalli,13.0086,77.6143,India,IN,Karnātaka,,3792,3792,"['New Bagalur Layout', ' Sagayarapuram Ward', ' East Zone', ' Bengaluru', ' Bangalore North', ' Bengaluru Urban District', ' Karnataka', ' 560084', ' India']"
128,Simli Murārpur,25.5792,85.2401,India,IN,Bihār,,3739,3739,"['Patna Rural', ' Patna District', ' Bihar', ' India']"
129,Sonāwān,25.5445,85.2387,India,IN,Bihār,,3682,3682,"['Patna Rural', ' Patna District', ' Bihar', ' India']"
130,Devanandapur,22.9378,88.3698,India,IN,West Bengal,,3449,3449,"['Hugli-Chuchura', ' Chinsurah - Magra', ' Hooghly District', ' West Bengal', ' 712502', ' India']"
131,Tribeni,23.0269,88.4565,India,IN,West Bengal,,3305,3305,"['Kalyani', ' Nadia District', ' West Bengal', ' 712515', ' India']"
132,Huttanhalli,13.1651,77.6512,India,IN,Karnātaka,,3240,3240,"['Maranayakanahalli', ' Uttanahalli', ' Yelahanka taluku', ' Bengaluru Urban District', ' Karnataka', ' 562134', ' India']"
133,Nathupur,25.5163,85.2544,India,IN,Bihār,,3129,3129,"['Fatwah', ' Patna District', ' Bihar', ' 803201', ' India']"
134,Bāli,25.481,85.2227,India,IN,Bihār,,3128,3128,"['Fatwah', ' Patna District', ' Bihar', ' India']"
135,Vājarhalli,13.1022,77.4111,India,IN,Karnātaka,,3009,3009,"['Vajarahalli', ' Nelamangala', ' Nelamangala taluk', ' Bengaluru Rural District', ' Karnataka', ' 562123', ' India']"
136,Saino,25.1134,87.0108,India,IN,Bihār,,2987,2987,"['Jagdishpur', ' Bhagalpur District', ' Bihar', ' 813105', ' India']"
137,Shekhpura,25.5725,85.1428,India,IN,Bihār,,2950,2950,"['Sampatchak', ' Patna District', ' Bihar', ' 800027', ' India']"
138,Cāchohalli,13.001,77.4717,India,IN,Karnātaka,,2946,2946,"['Lingadeeranahalli', ' Kachohalli', ' Bangalore North', ' Bengaluru Urban District', ' Karnataka', ' 560018', ' India']"
139,Nārāyanpur Kola,25.1293,87.0076,India,IN,Bihār,,2919,2919,"['Jagdishpur', ' Bhagalpur District', ' Bihar', ' 813105', ' India']"
140,Gyan Chak,25.5496,85.2423,India,IN,Bihār,,2855,2855,"['Patna Rural', ' Patna District', ' Bihar', ' India']"
141,Kasgatpur,13.1101,77.5045,India,IN,Karnātaka,,2852,2852,"['Kasaghattapura', ' Yelahanka taluku', ' Bengaluru Urban District', ' Karnataka', ' 560088', ' India']"
142,Kitanelli,13.0095,77.4191,India,IN,Karnātaka,,2827,2827,"['Mallasandra', ' Bangalore North', ' Bengaluru Urban District', ' Karnataka', ' India']"
143,Harchandi,25.1,87.0442,India,IN,Bihār,,2827,2827,"['Rajaun', ' Banka District', ' Bihar', ' 813105', ' India']"
144,Santoshpur,22.465,88.2193,India,IN,West Bengal,,2808,2808,"['Santoshpur', ' Budge Budge - I', ' South 24 Parganas District', ' West Bengal', ' 700139', ' India']"
145,Bendravādi,12.3636,76.9137,India,IN,Karnātaka,,2684,2684,"['Kempegaudanakoppalu', ' Malavalli taluk', ' Mandya District', ' Karnataka', ' India']"
146,Kodagihalli,12.9771,77.4651,India,IN,Karnātaka,,2585,2585,"['Gollarahatti', ' Kodigehalli', ' Bangalore North', ' Bengaluru Urban District', ' Karnataka', ' 560110', ' India']"
147,Harna Buzurg,25.0981,87.0148,India,IN,Bihār,,2579,2579,"['Rajaun', ' Banka District', ' Bihar', ' 813105', ' India']"
148,Mailanhalli,13.1863,77.6963,India,IN,Karnātaka,,2543,2543,"['Mylanahalli', ' Yelahanka taluku', ' Bengaluru Urban District', ' Karnataka', ' 560300', ' India']"
149,Sultānpur,25.5248,85.2507,India,IN,Bihār,,2473,2473,"['Fatwah', ' Patna District', ' Bihar', ' India']"
